N	2gram	Berdyaev_M	FransuaR
2502	людей на	2	1
2503	формы все	1	1
2504	человеческой природы	27	1
2505	должен освободить	1	1
2506	пишет в	1	1
2507	ничего подобного	3	1
2508	грудь и	1	1
2509	любви но	1	1
2510	которой нет	1	1
2511	начинает с	2	1
2512	внутреннюю жизнь	1	1
2513	истории на	1	1
2514	все было	1	1
